FACIL_BLDG_DESC,LATITUDE,LONGITUDE
SITE,39.7796,-86.1805
MULTI-BUILDING (3 OR MORE),0,0
NEW CONSTRUCTION,0,0
BLDG NOT ASSIGNED,0,0
WEB-BASED CLASS,0,0
LOWELL E. BAIER HALL,39.16507376,-86.52642427
4TH & INDIANA-LEWIS BLDG,39.16575625,-86.5271417
BUFFALOUIE'S                                                     ,0,0
502 E 4TH ST,39.16533666,-86.52805538
BUSKIRK-CHUMLEY THEATRE,0,0
BRYAN HALL,39.16612046,-86.52655988
CARMICHAEL CENTER,39.16626833,-86.5272666
UNDERGROUND PRINTING,0,0
LENNIE'S,0,0
518 E KIRKWOOD AVE                                               ,0,0
VON LEE,39.16682074,-86.52759281
FRANKLIN HALL,39.1670253,-86.52640607
POPLARS PARKING,39.16780853,-86.52885526
CTR REP GOVERNMENT,39.16779219,-86.52717003
214 N DUNN ST,39.16813298,-86.52806187
222 N DUNN ST,39.16837245,-86.52806393
215 N INDIANA AVE,39.16808257,-86.52716715
307-309 N INDIANA AVE,39.168908,-86.527182
IU MUSEUM OF ARCHAEOLOGY & ANTHROPOLOGY,39.16984482,-86.52626567
409 N INDIANA AVE,39.16991863,-86.52724219
502 E 9TH ST,39.170268,-86.528061
419 N INDIANA AVE,39.17028584,-86.52720793
LGBTQ+ CULTURE CENTER,39.168722,-86.525274
LATINO CULTURAL CENTER,39.16872651,-86.52503765
701 E 8TH ST,39.16967648,-86.5256072
406 N FESS AVE,39.16989435,-86.52560963
406 N FESS GARAGE,39.16979852,-86.52554588
AMERICAN INDIAN STUDIES,39.17034,-86.52667689
521 N PARK AVE,39.17139968,-86.52493983
615 E 11TH ST,39.17363354,-86.52630316
620 E 11TH ST,39.17329683,-86.52615364
621 E 11TH ST,39.17364765,-86.52598744
621 E 11TH ST.,0,0
722 N INDIANA AVE,39.17332371,-86.52680196
622 E 11TH ST,39.17325488,-86.52600773
716 N INDIANA AVE,39.17308076,-86.52679722
718 N INDIANA AVE,39.17320684,-86.52678892
800 N INDIANA AVE,39.1736376,-86.52674213
STUDENT BUILDING (FRANCES MORGAN SWAIN),39.16713278,-86.52558651
KIRKWOOD OBSERVATORY,39.16574393,-86.52607837
314 DUNN ST,39.16910286,-86.52805767
507-509 E 7TH ST,39.1687019,-86.52783458
518 E 7TH ST,39.168428,-86.527921
527 E 7TH ST,39.168688,-86.527165
528 E 7TH ST,39.16833283,-86.5271583
630 E 3RD ST,39.16405335,-86.52607568
618 E 3RD ST,39.16404493,-86.526522
624 E 3RD ST,39.16404237,-86.52630252
324 S HENDERSON ST,39.16351773,-86.52766351
209 S DUNN ST,39.165051,-86.52799
SWAIN WEST,39.16475153,-86.52486477
514 E 3RD ST,39.16409068,-86.52770915
509 E 3RD ST,39.1645937,-86.52784751
314 S HENDERSON ST,39.16381714,-86.52745503
508 E 3RD ST,39.16414,-86.528026
ROSE WELL HOUSE,39.16643115,-86.52437699
MAXWELL HALL,39.16705035,-86.52471815
309-311 N PARK AVE,39.1688695,-86.52483432
712 E 8TH ST,39.16926349,-86.5252204
717 E 8TH ST,39.16969044,-86.52484992
405-407 N PARK AVE,39.16987768,-86.52484089
409 N PARK AVE,39.17004632,-86.52493773
801 E 9TH ST,39.17055462,-86.52441328
701 E 10TH ST,39.1718701,-86.52562071
E-HOUSE,39.17152582,-86.52534203
EDMONDSON HALL,39.17118605,-86.52443788
MCCALLA,39.17084109,-86.52749963
611 N PARK AVE,39.17220155,-86.5248696
501 N PARK AVE,39.17057376,-86.52494189
520 N INDIANA AVE,39.17127174,-86.52668904
513 N PARK AVE                                                   ,39.17105659,-86.52495908
515 N PARK AVE,39.17125018,-86.52491011
417 N INDIANA AVE,39.17009729,-86.52721277
417 N INDIANA GARAGE,39.17006472,-86.52735827
KNEE-HIGH DAYCARE,39.172368,-86.52561507
516 N INDIANA AVE,39.17113612,-86.52666458
708 E 11TH ST,39.17325398,-86.52536672
708 E 11TH ST GARAGE,39.17311094,-86.52530699
510-512 N FESS AVE                                               ,39.1709816,-86.52552298
506-508 N FESS AVE,39.17084199,-86.52536876
509 N FESS AVE,39.1709833,-86.52609074
509 N FESS GARAGE,39.17096711,-86.52629928
504 N FESS AVE,39.17069324,-86.52552277
520 N FESS AVE,39.17139555,-86.52553564
SUNFLOWER DAYCARE,39.17028334,-86.5276524
505 N PARK AVE,39.17069255,-86.52491387
710 E COTTAGE GROVE,39.17238884,-86.52534263
516 N FESS AVE,39.1712607,-86.52555211
516 N FESS GARAGE,0,0
502 N INDIANA AVE,39.1705824,-86.5266266
519 N FESS,39.17138898,-86.52605735
506 N INDIANA AVE,39.17071222,-86.52662231
528 N INDIANA AVE,39.171529,-86.526646
CRAVENS HALL,39.17147251,-86.52400685
SMITH HALL,39.17073854,-86.52399127
809 E 9TH ST,39.17057301,-86.52417951
704 E 8TH ST,39.16930196,-86.52562183
714 E 8TH ST,39.16928071,-86.52499552
715 E 8TH ST,39.16969976,-86.52502298
708 E 8TH ST,39.169315,-86.525406
502 N FESS AVE,39.17057167,-86.5255106
309 N WOODLAWN AVE,39.16889623,-86.52368701
421 N PARK AVE,39.17030195,-86.52491445
612 N PARK AVE,39.17224,-86.524446
HUTTON HONORS COLLEGE,39.16877002,-86.52405612
310-312 N PARK AVE,39.16886176,-86.52444883
HARRIS HOUSE,39.16868839,-86.52443937
IN MEMORIAL UNION,39.16765514,-86.523537
IMU GUARD HUT,39.1682722,-86.52211291
OWEN HALL,39.16697541,-86.52383808
CENT.CAMP.DIST.CTR.,0,0
WYLIE HALL,39.16648863,-86.52357902
KIRKWOOD HALL,39.16597142,-86.5235836
LINDLEY HALL,39.16534361,-86.52359894
SWAIN EAST,39.16471961,-86.52419289
ATWATER EYE CARE CENTER,39.16377847,-86.52418982
HENDERSON PARKING GARAGE,39.16353838,-86.52633061
OPTOMETRY SCHOOL,39.16285607,-86.52333563
814 E 3RD ST,39.16385574,-86.52329198
CLASSROOM-OFFICE BUILDING,39.16376628,-86.52378725
RAWLES HALL,39.1647106,-86.52339457
ATWATER PARKING,39.16338441,-86.52186823
SIMON HALL (SCIENCE),39.16516643,-86.52223533
CHEMISTRY,39.16613058,-86.52258114
CHEMISTRY ADDITION,39.16586862,-86.52289715
DISTRIBUTION CENTER,0,0
8TH ST HUT (HPER),39.16936047,-86.52295583
ERNIE PYLE HALL,39.16818826,-86.52303107
BILL GARRETT FIELDHOUSE,39.16921962,-86.5208279
BECK CHAPEL,39.16705337,-86.52189766
MYERS HALL,39.1647273,-86.52231247
BIOLOGY BUILDING,39.16484014,-86.52098318
GOODBODY HALL,39.16526784,-86.52035767
BALLANTINE HALL,39.1662031,-86.52135968
SCHOOL OF PUBLIC HEALTH,39.16976221,-86.52109747
7TH ST HUT,39.16847275,-86.52217271
WOODBURN HALL,39.16810693,-86.52009963
BRYAN HOUSE,39.16684207,-86.51924398
MORRISON HALL,39.16549633,-86.51971881
MEMORIAL HALL,39.1647944,-86.51969451
MUSIC PRACTICE,39.16375722,-86.51942553
SOCIAL RESEARCH,39.16376397,-86.51982572
MERRILL HALL,39.16479227,-86.51829917
MUSIC ADDITION,39.16525788,-86.51829315
SYCAMORE HALL,39.16528086,-86.51903135
EAST STUDIO BUILDING,39.164681,-86.515429
SIDNEY & LOIS ESKENAZI MUSEUM OF ART,39.16914383,-86.51973852
LILLY LIBRARY,39.16790862,-86.51897382
FINE ARTS,39.16911065,-86.51891889
RADIO-TV,39.16959154,-86.51872308
ARBORETUM,39.16990638,-86.5201306
ARBORETUM,39.17144926,-86.52010226
ARBORETUM,39.17139237,-86.51904143
AUDITORIUM,39.16844269,-86.51785817
LEE NORVELLE THEATRE DRAMA/ NEAL&MARS,39.16838663,-86.51673887
IU CINEMA,39.16861278,-86.51737556
MUSICAL ARTS CENTER,39.1665705,-86.51745899
MAC MACHINE ROOM 100,39.16731275,-86.51751354
SIMON MSC LBR REC                                                ,39.16533562,-86.51744723
1815 E ATWATER AVE,39.163272,-86.511424
ESKENAZI SCHL / MIES VAN DER ROHE BLDG,39.169141,-86.516625
GLOBAL & INTL STUDIES BLDG,39.170002,-86.517492
316 N EAGLESON AVE,39.16865614,-86.51571929
300 N EAGLESON AVE,39.16825898,-86.51565554
EAST PARKING GARAGE,39.16742011,-86.51495804
BW-MANOR HOUSE,0,0
BICENTENNIAL CARILLON,39.170657,-86.519578
BW-CAMPBELL HOUSE,0,0
BW-CARRIAGE HOUSE,0,0
BW-GUARD HOUSE,0,0
BW-MAINTENANCE BLDG,0,0
GAZEBO-ARBORETUM,39.17102348,-86.51792908
BW-CHARLOTTE CABIN,0,0
BW-ELM CABIN,0,0
BW-RAYMOND CABIN,0,0
WELLS LIBRARY,39.17100263,-86.51679267
BW-OAK CABIN,0,0
BW-BEECH CABIN,0,0
BW-WALNUT CABIN,0,0
BW-LILLY POOL,0,0
BW-BAXTER DINING,0,0
BW-RECYCLE SHED,0,0
BW-FOUST CENTER,0,0
BW-BAXTER COTTAGE,0,0
INTERNATIONAL CENTER,39.16679212,-86.515828
BW-INTERPRETIVE CENTER,0,0
BW-WOLF HOUSE,0,0
BW-RHODES LANDON CABIN,0,0
BW-MONTGOMERY CABIN,0,0
BW-WADE CABIN,0,0
BW-CARLSON CABIN,0,0
330 S EASTSIDE DR,39.16322832,-86.51348986
BW-CARR CENTER,0,0
315 S MITCHELL ST,39.16349908,-86.51396644
319 S MITCHELL ST,39.16320118,-86.51397144
UNIVERSITY APT EAST,39.16486159,-86.51416898
BW-DOGWOOD COTTAGE,0,0
BW-ACTIVITY CENTER,0,0
1514 E 3RD ST,39.16392132,-86.51455701
1600 E 3RD ST,39.164069,-86.513876
1610 E 3RD ST,39.164068,-86.513601
1610 E 3RD ST GARAGE,39.163899,-86.513634
BW-FISHING SHED,0,0
BW-LAKE BEACH HOUSE,0,0
READ HALL,39.16611546,-86.51488449
BW-BOATHOUSE,0,0
BW-ARCHERY STORAGE,0,0
BW-OAK SHELTER,0,0
BW-SPRINGHOUSE,0,0
1708 E 3RD ST,39.16407976,-86.51294933
BW-OLD HOMESTEAD,0,0
401 S EASTSIDE DR,39.16292517,-86.51298585
BW-AMPHITHEATER,0,0
BW-RHODES-LANDON SHELTER,0,0
BW-WELCOME SHELTER,0,0
WRIGHT QUAD,39.17042469,-86.51458137
BW-ELM SHELTER,0,0
BW-FISHING SHELTER,0,0
BW-UPPER BEACH SHELTER,0,0
BW-LOWER BEACH SHELTER,0,0
BW-BASSWOOD COTTAGE,0,0
BW-ADMINISTRATION,0,0
TETER QUAD,39.17049443,-86.51326977
BW-OBSERVATORY,0,0
BW-ADVENTURE SHED,0,0
BW-WETLANDS COMFORT STATION,0,0
BW-PEPSI SHELTER,0,0
WENDELL W. WRIGHT,39.16713739,-86.5125391
BW-WOOD SHED,0,0
325 S ARBUTUS DR,39.14196,-86.52996
BW-RYAN COTTAGE,0,0
BW-AGAPE LODGE,0,0
BW-WOODEN SHOWER HOUSE,0,0
BW-SPORT COURT,0,0
BW-SPORTS SHED,0,0
BW-ZIP SHED,0,0
BW-CROSS KEYS INN,0,0
BW-GARAGE,0,0
BW-LEWIS COTTAGE,0,0
BW-LEWIS SHED,0,0
BW-CLARK COTTAGE,0,0
FOREST QUAD,39.16491006,-86.51246737
FOREST QUAD CHILLER,39.16502077,-86.5133159
BW-BLOCK SHOWER HOUSE,0,0
1812 E 3RD ST,39.16408514,-86.51197484
BW-BARN,0,0
BW-INDOOR RIDING ARENA,0,0
BW-CHEROKEE CABIN,0,0
BW-KICKAPOO CABIN,0,0
BW-OC SHED,0,0
BW-MOHEGAN COTTAGE,0,0
BW-MOHEGAN SHED,0,0
HERSHEY HALL,39.17003589,-86.51214394
BW-CHICKASAW COTTAGE,0,0
BW-CHICKASAW SHED,0,0
JOHNSTON HALL,39.1709675,-86.51215659
VOS HALL,39.17080823,-86.5114633
HICKORY HALL,39.17129689,-86.51039428
BIRCH HALL,39.17052431,-86.51067768
CEDAR HALL,39.17065202,-86.50980912
LINDEN HALL,39.16982925,-86.5100344
CYPRESS HALL,39.1694717,-86.51060787
BEECH HALL,39.16854836,-86.5105821
PINE HALL,39.16887062,-86.50985093
UNION ST CHILLER,39.16976989,-86.51123872
MOFFAT HALL,39.1712432,-86.51140695
GRIGGS LOUNGE,39.17103521,-86.51135397
DREISER HALL,39.17051455,-86.51116168
STEMPEL HALL,39.17021444,-86.51145939
BARNES LOUNGE,39.17002249,-86.51169282
BW-SHAWNEE COTTAGE,0,0
BW-DELAWARE CABIN,0,0
BW-GRIFFITH HALL,0,0
BW-MIAMI COTTAGE,0,0
BW-GRIFFITH STAFF HOUSE,0,0
1818 E 3RD ST,0,0
1834 E 3RD ST,0,0
209 S UNION ST,39.165071,-86.509209
209 S UNION ST GARAGE,0,0
211 S UNION ST,39.16493636,-86.5091912
211 S UNION GARAGE,39.16497922,-86.50892703
1902 E 3RD ST,39.164027,-86.510728
2101 E 3RD ST,39.16451511,-86.50810123
2027 E 3RD ST,39.16447583,-86.50879551
2029 E 3RD ST,39.16447249,-86.50862808
2029 E 3RD GARAGE,39.16463242,-86.50859649
2031 E 3RD ST,39.16448453,-86.50844274
2030 E 3RD ST,39.164088,-86.50865
3RD & UNION APARTMENTS,39.164613,-86.510159
WILLKIE B,39.16538781,-86.51045935
SPRUCE HALL,39.165757,-86.511766
WILLKIE C,39.16615689,-86.51039448
WILLKIE A,39.16692372,-86.5104588
MASON HALL,39.16784357,-86.50993366
EIGENMANN HALL,39.17090197,-86.50862246
1901 E 10TH ST,39.17175158,-86.50929695
STUDENT SERVICES,39.16907251,-86.50868104
2045 E 7TH ST,39.16841519,-86.50853938
318 N UNION ST,39.16876078,-86.50915967
318 N UNION GARAGE,39.16879312,-86.50897258
306 N UNION ST,39.16845573,-86.50903559
2020 E 3RD ST,39.16406523,-86.50938789
200 S BRYAN AVE,39.13955,-86.5364
117 S UNION ST,39.16608329,-86.50919989
204 S BRYAN AVE,39.165352,-86.508515
206 S BRYAN AVE,39.165209,-86.508503
206 S BRYAN AVE GARAGE,0,0
212 S BRYAN AVE,39.16506,-86.508522
212 S BRYAN AVE GARAGE,0,0
214 S BRYAN AVE,39.164916,-86.508548
120 S BRYAN AVE,39.1657229,-86.50852973
118 S BRYAN AVE,39.16587597,-86.50858267
102 S BRYAN AVE,39.1666824,-86.50853284
104 S BRYAN AVE,39.16655149,-86.50853069
113 N BRYAN AVE,39.16734866,-86.50856022
120 N BRYAN AVE,39.16763,-86.508
121 N BRYAN AVE,39.16773015,-86.50857269
AMERICAN HISTORIANS-RAINTREE HOUSE,39.16734966,-86.50780263
111 N BRYAN AVE,39.16721199,-86.50856288
2105 E 3RD ST,39.16446948,-86.50772833
2105 E 3RD GARAGE,39.16457159,-86.50763482
2427 E 2ND ST,39.16103,-86.503599
2431 E 2ND ST,39.16103,-86.503544
BW-NE PIT 1,0,0
BW-NE CARETAKER TRAILER,0,0
BW-NE MAINTENANCE GARAGE,0,0
BW-NE LODGE,0,0
BW-NE PIT 2,0,0
BW-NE SHELTER STORAGE,0,0
BW-NE PIT 3,0,0
CROSSTOWN SHOPPING CENTER,0,0
713 E COTTAGE GR,39.172706,-86.524827
802 E COTTAGE GROVE AVE,39.172361,-86.524485
HILLCREST,39.17216754,-86.52613959
822 E COTTAGE GROVE AVE,39.17235302,-86.52420947
815 E 10TH ST,39.17181661,-86.52397323
ASIAN CULTURE CENTER,39.17182329,-86.52426711
809 E 10TH ST,39.17199437,-86.52416482
801 E 10TH ST,39.17182128,-86.52445699
824 E COTTAGE GROVE AVE,39.17237826,-86.52396907
611 N WOODLAWN AVE,39.17217779,-86.52370974
805 E COTTAGE GROVE AVE,39.1727328,-86.52423404
824.5 E COTTAGE GROVE AVE,39.17216109,-86.52398721
711 N PARK AVE,39.172906,-86.524863
711 N PARK GARAGE,39.172855,-86.524952
721 N PARK AVE,39.17329856,-86.52485686
821 E 10TH ST,39.17182508,-86.5237182
1020 N INDIANA AVE,39.17600381,-86.52678271
1114 INDIANA GARAGE,39.17675232,-86.52669351
1000 N INDIANA AVE,39.17562971,-86.52675079
